Symbol_Period,Initial_Open,Close,High,Low,Prev_Close,Volume,Label,Start_Date,End_Date
HDFCBANK_2971-3060,427.75,528.35,539.9,400.25,429.65,283795762.0,Cup and Handle,2011-11-25,2012-04-02
HDFCBANK_3061-3150,533.0,598.9,602.3,482.2,528.35,239674221.0,Triple Bottom Reversal,2012-04-03,2012-08-08
HDFCBANK_3151-3240,601.0,683.4,705.5,505.05,598.9,220180589.0,Cup and Handle,2012-08-09,2012-12-20
HDFCBANK_3241-3330,681.0,680.95,702.0,602.55,683.4,276399737.0,Triple Bottom Reversal,2012-12-21,2013-05-03
HDFCBANK_3331-3420,679.0,638.0,727.3,528.0,680.95,335622321.0,Symmetrical Triangle,2013-05-06,2013-09-10
HDFCBANK_3511-3600,672.95,824.35,854.0,616.8,670.05,207070784.0,Triple Bottom Reversal,2014-01-21,2014-06-03
HDFCBANK_3601-3690,822.4,858.85,892.95,791.4,824.35,161320942.0,Cup and Handle,2014-06-04,2014-10-16
HDFCBANK_3781-3870,1063.0,1074.05,1109.3,944.2,1054.0,157586713.0,Triple Bottom Reversal,2015-02-28,2015-07-09
HDFCBANK_3961-4050,1064.9,1064.45,1108.0,928.0,1068.9,128929098.0,Inverse Head and Shoulders,2015-11-20,2016-04-01
HDFCBANK_4051-4140,1065.2,1228.25,1258.95,1042.85,1064.45,119908655.0,Ascending Triangle,2016-04-04,2016-08-11
HDFCBANK_4141-4230,1231.05,1186.25,1318.45,1158.0,1228.25,119366135.0,Head and Shoulders,2016-08-12,2016-12-23
HDFCBANK_4231-4320,1178.55,1534.8,1573.95,1170.1,1186.25,246003593.0,Ascending Triangle,2016-12-26,2017-05-08
HDFCBANK_4321-4410,1534.8,1839.4,1852.5,1532.65,1534.8,116381275.0,Ascending Triangle,2017-05-09,2017-09-14
HDFCBANK_4411-4500,1836.0,1951.3,1988.0,1757.85,1839.4,139414853.0,Triple Bottom Reversal,2017-09-15,2018-01-23
HDFCBANK_4501-4590,1952.55,2057.35,2160.0,1828.5,1951.3,164774427.0,Triple Bottom Reversal,2018-01-24,2018-06-06
HDFCBANK_4771-4860,2116.1,2407.15,2503.3,2070.0,2110.65,298146135.0,Ascending Triangle,2019-02-27,2019-07-11
HDFCBANK_4951-5040,1276.0,813.85,1305.5,738.75,1275.05,910097954.0,Head and Shoulders,2019-11-27,2020-04-03
HEROMOTOCO_1-90,1745.0,1845.6,2249.7,1720.0,1745.0,51597843.0,Descending Triangle,2011-08-08,2011-12-21
HEROMOTOCO_91-180,1813.0,2184.05,2257.05,1704.0,1845.6,42379782.0,Double Top,2011-12-22,2012-04-28
HEROMOTOCO_271-360,1801.0,1834.6,1966.0,1662.0,1808.1,30504735.0,Head and Shoulders,2012-09-06,2013-01-16
HEROMOTOCO_361-450,1821.0,1750.0,1844.9,1435.0,1834.6,29495284.0,Triple Bottom Reversal,2013-01-17,2013-05-28
HEROMOTOCO_451-540,1761.25,2040.8,2130.0,1563.6,1750.0,34946401.0,Triple Bottom Reversal,2013-05-29,2013-10-07
HEROMOTOCO_541-630,2047.95,1967.5,2209.95,1939.2,2040.8,26045157.0,Descending Triangle,2013-10-08,2014-02-13
HEROMOTOCO_721-810,2618.05,2964.4,3140.0,2393.15,2622.9,52212945.0,Descending Triangle,2014-06-30,2014-11-14
